Station,Line,Latitude,Longitude
Adarsh Nagar,Yellow Line,28.7144008,77.1672884
AIIMS,Yellow Line,28.5668602,77.2078058
Akshardham,Blue Line,28.61784195,77.27948814325397
Anand Vihar ISBT,Blue Line branch,28.6467533,77.3180037
Arjan Garh,Yellow Line,28.4807352,77.1257622
Arthala,Red Line,28.676999,77.3918919
Ashok Park Main,Green Line,28.6716045,77.155291
Ashram,Pink Line,28.5724231,77.2585979
Azadpur,Yellow Line,28.7076568,77.1755473
Badarpur Border,Violet Line,28.4904999,77.3040379
Badkhal Mor,Violet Line,,
Bahadurgarh City,Green Line,28.6907847,76.9354851
Barakhambha Road,Blue Line,28.6297676,77.2250046
Bata Chowk,Violet Line,28.3858361,77.313462
Bhikaji Cama Place,Pink Line,28.56790025,77.18701648353385
Botanical Garden,Blue Line,28.5638964,77.334332
Brigadier Hoshiyar Singh,Green Line,28.6974603,76.9192027
Central Secretariat,Yellow Line,28.6158794,77.2122822
Chandni Chowk,Yellow Line,28.6605039,77.2297797
Chawri Bazar,Yellow Line,28.6501605,77.2295008
Chhatarpur,Yellow Line,28.5067242,77.1750019
Chirag Delhi,Magenta Line,28.5381411,77.2280694
Civil Lines,Yellow Line,28.6768508,77.2250299
Dabri Mor-Janakpuri South,Magenta Line,28.6157555,77.085178
Dashrath Puri,Magenta Line,28.6018751,77.0823561
Delhi Aerocity,Orange Line,28.5487982,77.1208089
Delhi Cantonment,Pink Line,28.593833099999998,77.13497891459929
Delhi Gate,Violet Line,28.639203600000002,77.2407823
Dhaula Kuan,Orange Line,28.5918905,77.1617034
Dilshad Garden,Red Line,28.67588615,77.32143997586601
Durgabai Deshmukh South Campus,Pink Line,28.5894384,77.1690817
Dwarka,Blue Line,28.5771915,77.0442935
Dwarka Mor,Blue Line,28.61931,77.0332792
Dwarka Sector 8,Blue Line,28.5656109,77.0670366
Dwarka Sector 9,Blue Line,28.574272,77.0653316
Dwarka Sector 10,Blue Line,28.5810577,77.0574996
Dwarka Sector 11,Blue Line,28.5864469,77.0494375
Dwarka Sector 12,Blue Line,28.5922362,77.0407315
Dwarka Sector 13,Blue Line,28.597009,77.0335407
Dwarka Sector 14,Blue Line,28.60225285,77.02595656497819
Dwarka Sector 21,Blue Line,28.5518376,77.0586489
East Azad Nagar,Pink Line,28.6646964,77.284881
East Vinod Nagar – Mayur Vihar-II,Pink Line,28.6200437,77.3054069
Escorts Mujesar,Violet Line,28.3702344,77.3149203
ESI Hospital,Pink Line,28.6580737,77.1272678
Ghevra,Green Line,28.6852384,76.9961591
Ghitorni,Yellow Line,28.493751,77.1491866
Gokulpuri,Pink Line,28.7024752,77.2861253
Golf Course,Blue Line,28.59778075,77.15981693149558
Govind Puri,Violet Line,28.5443766,77.264266
Greater Kailash,Magenta Line,28.5418777,77.2384553
Green Park,Yellow Line,28.5585815,77.2067183
GTB Nagar,Yellow Line,28.6981317,77.2064113
Guru Dronacharya,Yellow Line,28.4820212,77.1022685
Haiderpur,Yellow Line,28.7301214,77.14940289658404
Harkesh Nagar Okhla,Violet Line,28.5431246,77.2755616
Hauz Khas,Yellow Line,28.5442564,77.2067072
Hazrat Nizamuddin,Pink Line,28.5887494,77.2572494
Hindon,Red Line,28.878965,77.4154832
HUDA City Centre,Yellow Line,28.4593429,77.0726571
IFFCO Chowk,Yellow Line,28.4723277,77.0724222
INA,Yellow Line,28.57440755,77.21024148189088
Inderlok,Red Line,28.6517178,77.2219388
Indira Gandhi International Airport,Orange Line,28.55489735,77.08467458266915
Indraprastha,Blue Line,28.6206019,77.249551
IP Extension,Pink Line,28.628899099999998,77.31019787919774
ITO,Violet Line,28.6305091,77.2414363
Jaffrabad,Pink Line,28.6826822,77.2748055
Jahangirpuri,Yellow Line,28.7259717,77.162658
Jama Masjid,Violet Line,28.65001015,77.23767616659065
Jamia Millia Islamia,Magenta Line,28.55849025,77.28116473551759
Janakpuri East,Blue Line,28.633021,77.086757
Janakpuri West,Blue Line,28.6289502,77.0779235
Jangpura,Violet Line,28.582457050000002,77.2415000727384
Janpath,Violet Line,28.6088598,77.2181649
Jasola Apollo,Violet Line,28.5384251,77.2830377
Jasola Vihar Shaheen Bagh,Magenta Line,28.5458279,77.2966578
Jawaharlal Nehru Stadium,Violet Line,28.58337705,77.23354040287734
Jhandewalan,Blue Line,28.6443188,77.1999165
Jhilmil,Red Line,28.6757033,77.31250457549734
Johari Enclave,Pink Line,,
Jor Bagh,Yellow Line,28.58823925,77.21652774187173
Kailash Colony,Violet Line,28.5530522,77.2429694
Kalindi Kunj,Magenta Line,28.5452187,77.3059891
Kalkaji Mandir,Violet Line,28.5497752,77.2606671
Kanhaiya Nagar,Red Line,28.6800635,77.1648445
Karkarduma,Blue Line branch,28.6491622,77.3062081096126
Karkarduma Court,Pink Line,28.6536001,77.2957877
Karol Bagh,Blue Line,28.6441866,77.189132
Kashmere Gate,Red Line,28.6517178,77.2219388
Kaushambi,Blue Line branch,28.6453286,77.3243485
Keshav Puram,Red Line,28.6889264,77.1616833
Khan Market,Violet Line,28.6001354,77.22649064087364
Kirti Nagar†,Blue Line,28.6532807,77.1417729
Krishna Nagar,Pink Line,28.6578461,77.2901853
Kohat Enclave,Red Line,28.6980415,77.1405393
Lajpat Nagar,Violet Line,28.57060215,77.23653027838046
Lal Qila,Violet Line,17.920861950000003,77.52850191193579
Laxmi Nagar,Blue Line branch,28.63055515,77.2776331681994
Lok Kalyan Marg,Yellow Line,28.598385,77.2029964
Madipur,Green Line,28.6764752,77.1193599
Maharaja Surajmal Stadium,Green Line,,
Majlis Park,Pink Line,28.7244312,77.181964
Major Mohit Sharma,Red Line,28.6776112,77.3581426
Malviya Nagar,Yellow Line,28.5339201,77.2124474
Mandawali – West Vinod Nagar,Pink Line,28.6249712,77.3044906
Mandi House,Blue Line,28.6255556,77.234195
Mansarovar Park,Red Line,28.6757386,77.300102
Maujpur-Babarpur,Pink Line,28.69197845,77.27962396808854
Mayapuri,Pink Line,28.6371795,77.1297333
Mayur Vihar -I,Blue Line,28.603133,77.2925892
Mayur Vihar Extension,Blue Line,28.59415815,77.29458935
Mayur Vihar Pocket I,Pink Line,28.6058619,77.2987023
Mewala Maharajpur,Violet Line,28.4418747,77.3023001
MG Road,Yellow Line,28.4794579,77.0804652
Model Town,Yellow Line,28.7027136,77.1939912
Mohan Estate,Violet Line,28.519589500000002,77.29458455034757
Mohan Nagar,Red Line,28.60631905,77.10608184860985
Moolchand,Violet Line,28.5644043,77.2342783
Moti Nagar,Blue Line,28.657859,77.1424288
Mundka,Green Line,28.6824341,77.0305741
Mundka Industrial Area,Green Line,28.6834491,77.0171333
Munirka,Magenta Line,28.554886,77.1710841
Najafgarh,Grey Line,28.612304,76.9823908
Nangli,Grey Line,28.6173003,77.0104375
Nangloi,Green Line,28.6824007,77.0647319
Nangloi Railway station,Green Line,28.6822009,77.0562463
Naraina Vihar,Pink Line,28.6273375,77.1403175
Nawada,Blue Line,28.6202758,77.0450787
Neelam Chowk Ajronda,Violet Line,28.3974824,77.3123599
Nehru Enclave,Magenta Line,28.5460584,77.2515057
Nehru Place,Violet Line,28.54925735,77.25295199508821
Netaji Subhash Place,Red Line,28.696051750000002,77.15264042023938
New Ashok Nagar,Blue Line,28.5890885,77.3015085
New Delhi,Yellow Line,28.6436415,77.2217373
NHPC Chowk,Violet Line,,
Nirman Vihar,Blue Line branch,28.63650605,77.28683488664558
Noida City Centre,Blue Line,,
Noida Electronic City,Blue Line,28.5793538,77.293303
Noida Sector 15,Blue Line,28.4808629,77.0848883
Noida Sector 16,Blue Line,28.4808629,77.0848883
Noida Sector 18,Blue Line,28.4808629,77.0848883
Noida Sector 34,Blue Line,28.4808629,77.0848883
Noida Sector 52,Blue Line,28.4808629,77.0848883
Noida Sector 59,Blue Line,28.4808629,77.0848883
Noida Sector 61,Blue Line,28.4808629,77.0848883
Noida Sector 62,Blue Line,28.4808629,77.0848883
Okhla Bird Sanctuary,Magenta Line,28.5529418,77.321595
Okhla NSIC,Magenta Line,28.5544828,77.2648487
Okhla Vihar,Magenta Line,28.5613002,77.2919304
Old Faridabad,Violet Line,28.4808629,77.0848883
Palam,Magenta Line,28.5918933,77.0828242
Panchsheel Park,Magenta Line,28.5433525,77.2140757
Pandit Shree Ram Sharma,Green Line,28.689281,76.9511988
Paschim Vihar East,Green Line,28.6773985,77.1122953
Paschim Vihar West,Green Line,28.6786514,77.1022255
Patel Chowk,Yellow Line,28.6229664,77.214031
Patel Nagar,Blue Line,28.6455858,77.1686983
Peera Garhi,Green Line,28.6798074,77.0926793
Pitam Pura,Red Line,28.7032676,77.1322497
Pratap Nagar,Red Line,28.6664902,77.19933567849505
Preet Vihar,Blue Line branch,28.6414952,77.29537442892021
Pul Bangash,Red Line,28.6663751,77.20752911898111
Punjabi Bagh,Green Line,28.668945,77.1324614
Punjabi Bagh West,Pink Line,28.6703201,77.1420875
Qutab Minar,Yellow Line,,
R.K.Puram,Magenta Line,28.5514261,77.1847012
Raja Nahar Singh,Violet Line,28.3400192,77.3164281
Raj Bagh,Red Line,28.6408602,77.2094999
Rajdhani Park,Green Line,28.6823085,77.0439437
Rajendra Place,Blue Line,28.6424955,77.1782756
Rajiv Chowk,Yellow Line,28.6327804,77.2196996
Rajouri Garden,Blue Line,28.6421518,77.11606037769263
Ramakrishna Ashram Marg,Blue Line,28.6392436,77.2085787
Ramesh Nagar,Blue Line,28.6527444,77.1316496
Rithala,Red Line,28.7208064,77.1071813
Rohini East,Red Line,28.7075901,77.1260386
Rohini Sector 18,Yellow Line,28.7383477,77.1398323
Rohini West,Red Line,28.7149569,77.115385
Sadar Bazaar Cantonment,Magenta Line,28.5771509,77.1111533
Saket,Yellow Line,28.5244107,77.2137253
Samaypur Badli,Yellow Line,28.7446158,77.1382654
Sant Surdas (Sihi),Violet Line,28.3546513,77.3162264
Sarai,Violet Line,28.6517178,77.2219388
Sarita Vihar,Violet Line,28.5286597,77.28839654806075
Sarojini Nagar,Pink Line,28.5741575,77.1953703
Satguru Ramsingh Marg,Green Line branch,28.6619327,77.1574772
Sector 28,Violet Line,28.545256549999998,77.03257608771955
Seelampur,Red Line,28.6698302,77.26675403040142
Shadipur,Blue Line,28.6516362,77.1582947
Shahdara,Red Line,28.6734037,77.28974036006097
Shaheed Nagar,Red Line,28.5307795,77.2120573
Shaheed Sthal,Red Line,28.6706109,77.4155822
Shakurpur,Pink Line,28.6857668,77.1496094
Shalimar Bagh,Pink Line,28.71745265,77.15086654617409
Shankar Vihar,Magenta Line,28.55743865,77.13966548999556
Shastri Nagar,Red Line,28.66997485,77.18199977474701
Shastri Park,Red Line,28.6682776,77.25039874373576
Shiv Vihar,Pink Line,28.61753755,77.03543016986725
Shivaji Park,Green Line,28.6750317,77.1304722
Shivaji Stadium,Orange Line,28.6315087,77.2160589
Shyam Park,Red Line,28.698807199999997,77.26846412516488
Sikandarpur,Yellow Line,28.4812704,77.092999
Sir Vishweshwaraiah Moti Bagh,Pink Line,28.5785326,77.175741
South,Pink Line,28.6517178,77.2219388
Subhash Nagar,Blue Line,28.6418074,77.1087611
Sukhdev Vihar,Magenta Line,28.5597477,77.2749004
Sultanpur,Yellow Line,28.4616582,76.8700852
Supreme Court,Blue Line,28.6222879,77.23943396872133
Tagore Garden,Blue Line,28.6437639,77.1128454
Terminal 1-IGI Airport,Magenta Line,,
Tikri Border,Green Line,28.6880254,76.9640828
Tikri Kalan,Green Line,28.6868661,76.9772069
Tilak Nagar,Blue Line,28.6365482,77.0964961
Tis Hazari,Red Line,28.6671323,77.21662796383896
Trilokpuri Sanjay Lake,Pink Line,28.613453,77.3088549
Tughlakabad Station,Violet Line,28.5023598,77.2992401
Udyog Bhawan,Yellow Line,28.6105302,77.2131076
Udyog Nagar,Green Line,28.681103,77.0808492
Uttam Nagar East,Blue Line,28.6248465,77.0652861
Uttam Nagar West,Blue Line,28.621757,77.0557122
Vaishali,Blue Line branch,28.6440912,77.0683855826679
Vasant Vihar,Magenta Line,28.56069055,77.16079073168567
Vidhan Sabha,Yellow Line,28.6863222,77.2217271
Vinobapuri,Pink Line,28.5669763,77.2491906
Vishwa Vidyalaya,Yellow Line,28.6950369,77.2147192
Welcome,Red Line,28.6517178,77.2219388
Yamuna Bank,Blue Line,28.6232784,77.26792404925054
